"Group","Scenario","Category","Values"
"RCP2.6_MFM","noAFM","Clear_cut",131.273788048721
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",2.759321169474
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",47.8091603759603
"RCP2.6_SFM","noAFM","Clear_cut",131.282639665421
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",2.750469552438
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",47.8015852168841
"REF_MFM","noAFM","Clear_cut",104.584489954191
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",29.448619258332
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",45.629300852747
"REF_SFM","noAFM","Clear_cut",104.628399902685
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",29.404709313737
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",45.6811534016874
"RCP2.6_MFM","AFMfree","Clear_cut",102.631163959558
"RCP2.6_MFM","AFMfree","Retention",26.034756454828
"RCP2.6_MFM","AFMfree","Selection",5.367188806131
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",50.5527255985755
"RCP2.6_SFM","AFMfree","Clear_cut",102.502126896458
"RCP2.6_SFM","AFMfree","Retention",26.016428859059
"RCP2.6_SFM","AFMfree","Selection",4.23127572786
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",50.3894177708968
"REF_MFM","AFMfree","Clear_cut",89.258980854732
"REF_MFM","AFMfree","Retention",20.03823435665
"REF_MFM","AFMfree","Selection",24.735894011367
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",48.2556562088794
"REF_SFM","AFMfree","Clear_cut",89.889159807112
"REF_SFM","AFMfree","Retention",20.631588528921
"REF_SFM","AFMfree","Selection",18.074729582833
